inst,start,L0,L_final,improve_pct,basin_id
2,136,6.249205,3.240576,48.1442,2
2,137,6.462237,3.240576,49.8537,2
2,138,5.541284,3.256438,41.2331,0
2,139,6.382938,3.240576,49.2307,2
2,140,6.481519,3.314944,48.8555,3
2,141,6.795879,3.240576,52.3156,2
2,142,6.516598,3.256438,50.0286,0
2,143,5.929886,3.240576,45.3518,2
2,144,6.884879,3.240576,52.9320,2
2,145,6.675560,3.240576,51.4561,2
2,146,6.490245,3.256438,49.8257,0
2,147,6.707664,3.256438,51.4520,0
2,148,7.231452,3.256438,54.9684,0
2,149,6.468574,3.240576,49.9028,2
3,0,5.356271,2.500884,53.3092,0
3,1,5.874613,2.500884,57.4290,0
3,2,6.180095,2.500884,59.5333,0
3,3,7.134232,2.530307,64.5329,1
3,4,7.141088,2.530307,64.5669,1
3,5,4.388598,2.500884,43.0141,0
3,6,5.595859,2.500884,55.3083,0
3,7,6.040492,2.500884,58.5980,0
3,8,7.536310,2.500884,66.8155,0
3,9,4.512104,2.500884,44.5739,0
3,10,7.384704,2.500884,66.1343,0
3,11,5.401532,2.500884,53.7005,0
3,12,4.855936,2.500884,48.4984,0
3,13,6.445675,2.500884,61.2006,0
3,14,7.850817,2.500884,68.1449,0
3,15,6.273811,2.620385,58.2330,2
3,16,6.302415,2.500884,60.3186,0
3,17,4.962850,2.500884,49.6079,0
3,18,5.791153,2.500884,56.8154,0
3,19,7.685145,2.500884,67.4582,0
3,20,6.412847,2.500884,61.0020,0
3,21,5.645372,2.500884,55.7003,0
3,22,6.060865,2.500884,58.7372,0
3,23,5.275711,2.530307,52.0386,1
3,24,5.906514,2.500884,57.6589,0
3,25,7.732946,2.500884,67.6594,0
3,26,7.094420,2.500884,64.7486,0
3,27,4.473756,2.500884,44.0988,0
3,28,5.604400,2.500884,55.3764,0
3,29,6.971780,2.500884,64.1285,0
3,30,5.638186,2.500884,55.6438,0
3,31,7.067008,2.500884,64.6118,0
3,32,4.592745,2.500884,45.5471,0
3,33,5.005214,2.500884,50.0344,0
3,34,5.629153,2.530307,55.0500,1
3,35,7.008164,2.500884,64.3147,0
3,36,5.504936,2.500884,54.5702,0
3,37,5.666533,2.500884,55.8657,0
3,38,5.791558,2.500884,56.8185,0
3,39,6.040325,2.500884,58.5969,0
3,40,6.996098,2.500884,64.2532,0
3,41,6.063880,2.500884,58.7577,0
3,42,6.612843,2.500884,62.1814,0
3,43,4.666274,2.620385,43.8442,2
3,44,6.890133,2.500884,63.7034,0
