x,y,f_true,interp
-0.087468,0.846074,0.4814226,0.48142258
-0.860001,-0.050246,0.18438365,0.18438364
-0.048523,0.322353,0.86376352,0.86376354
0.940396,0.505809,0.47235236,0.47235237
0.198771,-0.004180,1.1280933,1.1280933
0.558402,-0.949594,0.24956874,0.2495686
-0.371743,-0.850835,0.41125243,0.41125242
0.345496,0.347236,1.0024656,1.0024656
-0.417149,0.589296,0.44614138,0.44614143
-0.483025,-0.216467,0.45301303,0.45301305
0.050118,0.877972,0.46104852,0.46104852
-0.914049,0.949235,0.21246121,0.21246104
0.042434,-0.349548,0.91335699,0.91335699
0.294065,0.733935,0.59320126,0.59320125
0.777002,-0.440911,0.67884572,0.67884571
0.352630,-0.749111,0.56340846,0.56340847
-0.149523,0.421395,0.7260176,0.7260176
0.236993,0.647498,0.69868774,0.69868777
-0.016116,0.688700,0.61757041,0.61757042
0.197936,-0.519712,0.83261114,0.83261111
-0.013450,0.766924,0.55301511,0.55301514
-0.566383,0.696206,0.33886641,0.33886643
0.667120,-0.652662,0.5528982,0.5528982
-0.291839,0.848498,0.4368896,0.43688963
0.189890,0.234864,1.0587157,1.0587157
-0.685206,-0.715667,0.27806687,0.27806686
-0.676264,-0.037108,0.28538458,0.28538458
0.778938,-0.275490,0.79155627,0.79155626
-0.030398,0.873107,0.46617486,0.46617491
0.129389,-0.645429,0.69259912,0.69259912
-0.121908,0.061355,0.87716012,0.87716013
0.884296,-0.397133,0.60276573,0.60276573
0.184868,-0.552498,0.79721834,0.7972183
-0.210038,0.924297,0.42348702,0.42348702
-0.042788,-0.391862,0.82763253,0.82763256
0.446883,-0.216730,1.0723642,1.0723642
0.312024,-0.800583,0.50977833,0.50977834
0.845727,-0.203297,0.7489956,0.7489956
-0.034086,0.218871,0.92461093,0.92461093
0.810415,0.349261,0.71323033,0.7132303
-0.160437,0.754478,0.52272396,0.52272397
-0.396965,-0.805002,0.41120949,0.41120946
0.489435,0.476284,0.84265736,0.84265735
0.611681,-0.285242,0.93872826,0.93872825
-0.717919,0.713611,0.26255136,0.26255137
0.274134,-0.710674,0.62346438,0.62346437
0.501980,0.784446,0.4726749,0.4726749
0.494227,-0.568377,0.73916046,0.73916048
-0.234635,0.239777,0.71758913,0.71758912
0.753400,0.944067,0.18981311,0.18981311
-0.178856,-0.484037,0.66878485,0.66878487
0.336349,0.630635,0.71006729,0.7100673
0.401943,0.754548,0.54381477,0.54381477
0.764023,0.444855,0.68743419,0.68743416
-0.172836,0.381533,0.72574563,0.72574566
0.764475,-0.727965,0.41308864,0.41308863
0.144574,-0.075593,1.0963569,1.096357
0.539891,0.508112,0.78548702,0.78548704
-0.679206,-0.851584,0.29211263,0.29211263
0.943709,-0.134300,0.64262982,0.6426298
0.597659,0.048887,1.0455871,1.0455871
0.693256,0.205561,0.91484562,0.91484559
-0.279326,0.926367,0.41384122,0.41384122
-0.795131,0.348907,0.21155336,0.21155335
-0.778162,-0.287741,0.21940725,0.21940723
-0.554403,-0.218776,0.38330738,0.38330736
0.414027,-0.080011,1.134941,1.134941
0.087985,-0.867139,0.46857926,0.46857926
0.456126,-0.440963,0.89167238,0.89167239
0.358463,0.174691,1.1129104,1.1129104
-0.180446,0.597448,0.60485511,0.60485511
-0.333580,-0.658282,0.48250659,0.48250659
0.078723,0.233737,1.0034538,1.0034538
-0.518542,0.554503,0.3793746,0.3793746
-0.480107,0.141900,0.46264077,0.46264078
0.880134,0.035821,0.74259812,0.74259811
-0.598617,-0.310593,0.33867299,0.33867298
-0.105758,0.071245,0.89315785,0.89315785
0.716614,0.727618,0.4405609,0.44056086
-0.128337,-0.824590,0.48882722,0.48882721
-0.556772,0.458710,0.36074241,0.3607424
-0.771188,0.496203,0.22571778,0.2257178
0.835136,-0.522711,0.55805217,0.55805216
0.043602,0.380246,0.89323653,0.89323657
-0.296451,-0.679318,0.49673636,0.49673633
0.928149,-0.346583,0.58265334,0.58265333
-0.167474,0.154806,0.81251053,0.81251053
0.731684,-0.841338,0.30752734,0.30752734
-0.013380,-0.408747,0.83730841,0.8373084
-0.577778,0.493933,0.34234638,0.34234639
0.317990,0.133712,1.1304553,1.1304553
0.022659,-0.165966,0.99127038,0.99127033
-0.287505,-0.801710,0.45477771,0.45477771
-0.586674,-0.168953,0.35671887,0.35671885
0.916723,0.859195,0.21263772,0.21263769
0.558831,-0.281587,0.97737672,0.97737669
0.049474,0.334383,0.92761741,0.92761742
-0.660163,0.777884,0.29389559,0.2938956
0.000825,-0.661430,0.64592283,0.64592282
0.882519,0.708366,0.3599562,0.35995621
-0.232605,-0.302977,0.69988079,0.69988076
-0.551210,-0.439726,0.36682178,0.36682178
-0.726528,0.405885,0.2474259,0.2474259
-0.297758,-0.380365,0.60819353,0.60819349
-0.134616,0.016374,0.86625104,0.86625108
-0.667530,-0.822650,0.29419863,0.29419863
-0.275593,0.577123,0.55143252,0.55143251
-0.708397,-0.875043,0.28299538,0.28299537
0.443378,0.900409,0.34955889,0.34955888
-0.586819,-0.898162,0.33227549,0.33227548
0.938972,-0.855705,0.20672934,0.20672936
