run,step,t,h,err_est,err_true
22,3,0.35,0.32558903,8.39629e-06,1.9339061e-06
22,4,0.67558903,0.33163796,9.1130336e-06,2.0017202e-06
22,5,1.007227,0.35213123,1.0901585e-05,2.3192505e-06
22,6,1.3593582,0.37440428,1.2950813e-05,3.9570126e-06
22,7,1.7337625,0.32507995,7.9836535e-06,1.904801e-06
22,8,2.0588425,0.32487581,8.3746195e-06,1.874015e-06
22,9,2.3837183,0.34023693,9.9967542e-06,2.1783868e-06
22,10,2.7239552,0.36107464,1.1237238e-05,2.7634643e-06
22,11,3.0850298,0.38549709,1.6758252e-05,5.048309e-06
22,12,3.4705269,0.34884787,1.1817205e-05,2.9281328e-06
22,13,3.8193748,0.33201036,9.1607586e-06,2.0133549e-06
22,14,4.1513852,0.35228143,1.0909285e-05,2.3198221e-06
22,15,4.5036666,0.3745885,1.3012288e-05,3.9744975e-06
22,16,4.8782551,0.12174491,5.976893e-08,5.2253417e-09
23,0,0,0.05,5.7503047e-10,2.0914159e-11
23,1,0.05,0.1,1.8936343e-08,1.4073125e-09
23,2,0.15,0.2,6.3920046e-07,9.7851645e-08
23,3,0.35,0.3609724,1.3520756e-05,3.7565086e-06
23,4,0.7109724,0.34114524,1.1573031e-05,2.7983815e-06
23,5,1.0521176,0.32840734,9.4731244e-06,2.0597627e-06
23,6,1.380525,0.3493841,1.1440003e-05,2.4164961e-06
23,7,1.7299091,0.37192226,1.3691426e-05,4.1530374e-06
23,8,2.1018313,0.32123352,8.2161797e-06,1.9376844e-06
23,9,2.4230648,0.32102462,8.623708e-06,1.9102686e-06
23,10,2.7440895,0.33621882,1.0329389e-05,2.2329903e-06
23,11,3.0803083,0.35748362,1.1808022e-05,2.8066525e-06
23,12,3.4377919,0.38176013,1.7252644e-05,5.169332e-06
23,13,3.819552,0.34739398,1.2602477e-05,3.1242491e-06
23,14,4.166946,0.32671844,9.2770072e-06,2.0188135e-06
23,15,4.4936645,0.34760104,1.132337e-05,2.4025863e-06
23,16,4.8412655,0.1587345,2.0020537e-07,2.4009901e-08
24,0,0,0.05,6.6863381e-10,2.3848257e-11
24,1,0.05,0.1,2.1570734e-08,1.5446076e-09
24,2,0.15,0.2,7.0015871e-07,1.0009102e-07
24,3,0.35,0.31761101,7.1935566e-06,1.5792687e-06
24,4,0.66761101,0.34039461,9.7104551e-06,2.1282497e-06
24,5,1.0080056,0.36091443,1.0968041e-05,2.602155e-06
24,6,1.3689201,0.38488624,1.5772433e-05,4.7729939e-06
24,7,1.7538063,0.35284436,1.1987492e-05,3.0187382e-06
24,8,2.1066507,0.33259211,8.9229784e-06,1.9721969e-06
24,9,2.4392428,0.35247824,1.0633279e-05,2.2751788e-06
24,10,2.791721,0.37447234,1.2306364e-05,3.7799089e-06
24,11,3.1661934,0.32857426,8.0592381e-06,1.9502647e-06
24,12,3.4947676,0.32835209,8.4990857e-06,1.926005e-06
24,13,3.8231197,0.34121491,9.7852948e-06,2.1420926e-06
24,14,4.1643346,0.36181832,1.0986728e-05,2.6757343e-06
